REGION_ADM_QC_TXT,ANNEE_MOIS,SECTEUR,Total (kWh)
Abitibi-Témiscamingue,2016-01-01,COMMERCIAL,54555931.0
Abitibi-Témiscamingue,2016-01-01,INSTITUTIONNEL,31289704.2
Abitibi-Témiscamingue,2016-01-01,RÉSIDENTIEL,175643885.0
Abitibi-Témiscamingue,2016-02-01,COMMERCIAL,51096399.0
Abitibi-Témiscamingue,2016-03-01,INDUSTRIEL,311904102.8635148
Abitibi-Témiscamingue,2016-04-01,INDUSTRIEL,311410466.7587011
Abitibi-Témiscamingue,2016-04-01,INSTITUTIONNEL,23149936.12
Abitibi-Témiscamingue,2016-04-01,RÉSIDENTIEL,110055609.0
Abitibi-Témiscamingue,2016-05-01,INDUSTRIEL,304790286.4117369
Abitibi-Témiscamingue,2016-05-01,INSTITUTIONNEL,18167616.338064514
Abitibi-Témiscamingue,2016-05-01,RÉSIDENTIEL,73243391.0
Abitibi-Témiscamingue,2016-06-01,AGRICOLE,2147752.0
Abitibi-Témiscamingue,2016-07-01,AGRICOLE,2157428.0
Abitibi-Témiscamingue,2016-07-01,INDUSTRIEL,305125628.9154638
Abitibi-Témiscamingue,2016-08-01,AGRICOLE,2299003.0
Abitibi-Témiscamingue,2016-08-01,COMMERCIAL,36467709.0
Abitibi-Témiscamingue,2016-09-01,AGRICOLE,2278759.0
Abitibi-Témiscamingue,2016-09-01,INSTITUTIONNEL,16647153.6199257
Abitibi-Témiscamingue,2016-10-01,INSTITUTIONNEL,20050337.089251466
Abitibi-Témiscamingue,2016-10-01,RÉSIDENTIEL,81083606.0
Abitibi-Témiscamingue,2016-11-01,COMMERCIAL,43924253.0
Abitibi-Témiscamingue,2016-11-01,RÉSIDENTIEL,103284890.0
Abitibi-Témiscamingue,2016-12-01,AGRICOLE,3500936.0
Abitibi-Témiscamingue,2017-01-01,INDUSTRIEL,331132088.2406101
Abitibi-Témiscamingue,2017-01-01,INSTITUTIONNEL,30448988.064516127
Abitibi-Témiscamingue,2017-03-01,INDUSTRIEL,324149212.53656423
Abitibi-Témiscamingue,2017-05-01,COMMERCIAL,38635613.0
Abitibi-Témiscamingue,2017-05-01,INDUSTRIEL,296793526.2066443
Abitibi-Témiscamingue,2017-05-01,INSTITUTIONNEL,18972575.24591398
Abitibi-Témiscamingue,2017-05-01,RÉSIDENTIEL,77498866.0
Abitibi-Témiscamingue,2017-06-01,INSTITUTIONNEL,15645391.014086021
Abitibi-Témiscamingue,2017-06-01,RÉSIDENTIEL,60307092.0
Abitibi-Témiscamingue,2017-07-01,COMMERCIAL,34554084.0
Abitibi-Témiscamingue,2017-09-01,INDUSTRIEL,311281491.2675893
Abitibi-Témiscamingue,2017-10-01,AGRICOLE,2627017.0
Abitibi-Témiscamingue,2017-10-01,COMMERCIAL,38231876.0
Abitibi-Témiscamingue,2017-10-01,RÉSIDENTIEL,74065651.0
Abitibi-Témiscamingue,2017-11-01,AGRICOLE,3196758.0
Abitibi-Témiscamingue,2017-11-01,COMMERCIAL,49407267.0
Abitibi-Témiscamingue,2017-12-01,RÉSIDENTIEL,182042104.0
Abitibi-Témiscamingue,2018-01-01,INSTITUTIONNEL,34095820.48865406
Abitibi-Témiscamingue,2018-02-01,AGRICOLE,3673733.0
Abitibi-Témiscamingue,2018-02-01,RÉSIDENTIEL,153340836.0
Abitibi-Témiscamingue,2018-03-01,COMMERCIAL,53304574.0
Abitibi-Témiscamingue,2018-03-01,INDUSTRIEL,326366793.1122173
Abitibi-Témiscamingue,2018-03-01,INSTITUTIONNEL,27658345.92903226
Abitibi-Témiscamingue,2018-03-01,RÉSIDENTIEL,141076720.0
Abitibi-Témiscamingue,2018-05-01,AGRICOLE,2564316.0
Abitibi-Témiscamingue,2018-05-01,COMMERCIAL,39347654.0
Abitibi-Témiscamingue,2018-05-01,RÉSIDENTIEL,75297883.0
Abitibi-Témiscamingue,2018-06-01,INDUSTRIEL,296316350.64596725
Abitibi-Témiscamingue,2018-06-01,INSTITUTIONNEL,15511860.397419354
Abitibi-Témiscamingue,2018-07-01,INSTITUTIONNEL,15596357.59924731
Abitibi-Témiscamingue,2018-07-01,RÉSIDENTIEL,57418695.0
Abitibi-Témiscamingue,2018-08-01,RÉSIDENTIEL,57430673.0
Abitibi-Témiscamingue,2018-09-01,INSTITUTIONNEL,17219985.631505378
Abitibi-Témiscamingue,2018-11-01,INSTITUTIONNEL,27032390.932258062
