"Code","Région administrative","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"01","Bas-Saint-Laurent","215,164","214,092","212,504","211,295","210,148","209,643","209,918","209,876","209,640","209,119","208,695","208,295","207,507","206,734","205,388","203,798","202,459","201,700","201,647","201,344","201,079","201,056","200,790","200,536","200,676","200,688","200,327","199,679","198,706","197,707","197,289","197,131","196,879","197,170","197,815","199,319","200,929","202,605","204,892"
"02","Saguenay–Lac-Saint-Jean","291,368","290,733","290,007","289,951","290,909","292,589","292,442","293,223","292,810","291,890","290,182","289,671","288,995","287,647","285,511","283,368","280,769","278,418","276,764","275,252","274,424","274,350","275,131","275,608","276,429","277,450","278,060","278,077","277,799","277,374","277,020","276,369","275,916","275,882","276,216","276,563","279,422","282,690","286,768"
"03","Capitale-Nationale","599,290","605,351","609,659","616,492","623,866","631,599","636,611","641,766","643,665","643,070","643,377","644,678","645,136","646,821","648,406","651,900","655,879","659,269","662,214","664,904","669,306","675,802","684,175","693,058","702,104","710,932","715,919","721,311","725,968","729,684","734,543","739,593","745,809","753,293","759,259","762,707","774,804","793,001","812,328"
"04","Mauricie","256,605","258,328","259,619","260,582","262,325","264,239","265,791","265,261","264,929","264,618","264,581","264,402","263,706","262,753","261,378","259,844","258,952","258,764","259,330","259,679","260,329","261,544","262,369","263,400","264,694","265,439","265,698","265,817","266,255","266,244","266,790","267,648","268,119","269,354","271,594","274,353","278,560","282,534","288,354"
"05","Estrie","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","417,704","420,834","423,896","427,153","430,235","432,933","436,541","440,306","444,362","449,455","453,892","456,698","459,400","461,333","462,887","466,629","470,571","475,678","481,616","489,022","498,038","506,527","515,271","524,801"
"06","Montréal","1,819,591","1,833,755","1,821,214","1,836,211","1,823,111","1,815,924","1,799,293","1,795,175","1,794,407","1,795,293","1,797,912","1,799,305","1,801,463","1,814,649","1,832,859","1,852,600","1,866,524","1,870,992","1,873,388","1,873,881","1,876,951","1,875,911","1,879,857","1,895,380","1,906,556","1,915,417","1,926,867","1,938,647","1,947,513","1,951,052","1,960,740","1,983,795","2,023,837","2,059,126","2,061,967","2,015,879","2,035,975","2,109,525","2,200,807"
"07","Outaouais","262,223","265,574","268,726","274,484","283,576","291,409","298,010","303,350","306,964","309,216","311,733","313,787","315,545","316,745","319,092","322,947","326,808","332,204","337,143","341,476","344,980","349,368","355,100","361,221","367,853","373,862","376,634","378,689","380,562","382,100","385,453","388,992","393,568","399,090","404,058","408,052","412,121","418,011","427,243"
"08","Abitibi-Témiscamingue","149,729","150,825","152,735","154,034","154,780","155,506","154,774","154,853","155,303","155,813","155,901","155,741","154,986","153,346","150,976","148,360","146,583","145,404","144,729","144,494","144,631","144,838","145,156","145,518","145,808","146,470","147,142","147,523","147,487","147,075","147,030","147,281","147,199","147,202","147,435","147,838","148,118","148,564","149,637"
"09","Côte-Nord","106,736","105,296","103,651","103,039","104,163","105,710","105,956","105,440","104,587","104,674","104,643","104,344","103,344","102,230","100,832","99,267","97,835","97,151","97,009","96,673","96,323","95,838","95,218","95,114","95,148","95,483","95,543","95,447","94,826","93,658","92,418","91,491","90,760","90,289","90,121","90,171","89,987","89,914","89,846"
"10","Nord-du-Québec","36,845","36,110","36,204","36,424","37,062","37,217","37,395","37,645","37,700","38,163","39,050","39,316","39,205","39,232","39,289","39,306","39,272","39,571","39,936","40,130","40,301","40,878","41,364","41,772","42,485","43,002","43,426","43,815","44,068","44,505","44,683","44,934","45,277","45,516","45,712","46,128","46,369","46,650","47,083"
"11","Gaspésie–Îles-de-la-Madeleine","114,612","113,242","111,301","110,128","108,997","108,231","108,167","108,352","107,988","107,343","106,404","105,546","104,018","102,141","100,027","98,132","97,036","96,188","95,754","95,305","94,758","94,429","94,100","94,040","94,158","94,051","93,592","92,665","91,746","90,982","90,207","89,927","89,886","89,638","89,865","91,324","91,804","92,059","92,336"
"12","Chaudière-Appalaches","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","391,356","391,769","392,575","393,905","395,739","397,650","400,851","403,626","407,244","411,459","414,900","416,556","417,740","418,647","420,262","422,145","423,913","425,913","427,961","431,474","436,397","442,370","449,028","455,812"
"13","Laval","290,778","298,823","306,331","311,902","316,907","322,065","326,728","329,195","332,048","333,454","334,918","337,617","339,826","342,605","346,324","350,600","354,628","358,848","363,213","367,505","372,577","378,123","385,065","392,073","399,714","406,306","411,361","415,771","419,023","421,758","425,838","429,570","434,464","438,498","441,071","440,489","443,792","450,710","460,396"
"14","Lanaudière","285,030","294,047","306,058","317,718","331,621","343,949","356,199","363,532","370,451","375,927","380,827","385,399","389,361","391,735","393,947","396,119","401,442","407,218","415,495","424,292","433,034","443,391","452,607","460,962","469,360","476,712","482,749","487,332","490,954","493,703","497,341","502,541","508,038","514,445","522,824","532,680","541,728","551,592","561,608"
"15","Laurentides","326,640","335,844","349,479","363,464","378,529","391,527","402,569","413,085","422,639","431,145","439,611","446,357","452,863","458,709","465,479","472,642","481,405","490,836","500,621","509,491","517,646","528,399","537,639","547,168","557,597","566,165","572,566","577,789","582,874","588,038","594,554","602,110","610,176","618,316","628,998","643,216","653,655","663,358","673,581"
"16","Montérégie","..","..","..","..","..","..","..","..","..","..","1,158,154","1,163,770","1,168,899","1,173,440","1,178,842","1,185,583","1,196,537","1,209,250","1,223,224","1,236,236","1,249,181","1,263,762","1,279,637","1,294,875","1,312,128","1,327,917","1,339,055","1,350,060","1,359,360","1,367,279","1,379,361","1,392,341","1,409,425","1,428,377","1,444,581","1,456,782","1,471,331","1,492,662","1,517,003"
"17","Centre-du-Québec","206,031","207,072","207,913","208,803","210,380","211,986","213,865","214,771","215,604","216,894","217,889","219,225","220,640","221,624","222,137","222,488","222,573","223,204","223,958","224,831","225,798","227,319","229,474","231,584","233,855","236,050","237,559","239,063","240,414","241,435","242,995","244,625","246,007","247,413","249,083","252,084","255,692","259,846","263,549"
